week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-02,0.030526542062624656,0.764399227842021,-0.2550550530589369,0.46866809223982503,6.0
2025-03,-0.4502532646763626,1.125313018046543,-0.22905767863247264,0.9123089030950706,9.0
2025-04,-0.09571522091313169,0.9672041987023814,-0.059318772831015845,0.7892143968455753,26.0
2025-05,0.027094269995656044,0.9684050784080755,-0.18931046753166025,0.831146190672848,24.0
2025-06,-0.02514034301172612,0.7945963195765046,0.10900544313683584,0.716113938852543,43.0
2025-07,-0.5027279175643953,0.9276169110253898,0.01599881711049095,1.0063460843488667,23.0
2025-08,-0.19034589476306596,0.9191664088331215,0.16403098098898586,0.9854072689843785,23.0
2025-09,0.36294036120852213,1.0213349911248824,0.271969700999203,1.208833293059493,15.0
2025-10,-0.18154588480588696,0.9390560905781987,-0.02637920421166568,0.7881194380572077,46.0
2025-11,0.4429681531368426,1.1021113028006304,0.2382206244512446,1.0019486421075892,38.0
2025-12,0.1780451361639958,0.4508086300144493,-0.11805479695625445,0.9526133305276675,28.0
2025-13,-0.07705722756402743,0.9234708090804583,-0.25398631688188905,0.7514642079802113,36.0
2025-14,0.1419364967743265,0.7341151063969827,0.12200333048074695,0.7076401763555912,29.0
2025-15,-0.010510065805259202,0.6360759774451638,-0.1864598735665322,1.130580425802483,19.0
2025-16,0.12185033762091396,0.780975024558767,0.07791295440259323,0.7152531849182567,18.0
2025-17,-0.060705706647174985,0.6960580927666786,0.0039905067841373675,1.0169819404668778,29.0
2025-18,-0.130786144869561,0.6908554416422543,-0.14119908525478175,0.8401836584398673,25.0
2025-19,0.17705635167982334,0.9274686325134838,0.06588226171746549,0.9472851864774201,44.0
2025-20,-0.07911392664502495,1.0984647545778181,0.15571614972231038,0.9132148652138514,27.0
2025-21,0.11829191348093157,0.9610729848659687,0.18093424669624655,1.0142719602935226,30.0
2025-22,0.05415626022352466,0.9872883669228004,0.23757333097793498,0.7577282347278856,60.0
2025-23,0.12454214609015299,0.6530989951941217,-0.009138258330477536,0.8654881408412124,25.0
2025-24,0.08868385928968296,0.9648390791559984,0.17423501532041075,1.0005322184847643,57.0
2025-25,-0.5226268504233896,0.9271655893245085,-0.3544963318438878,0.7910638839112554,51.0
2025-26,-0.20494162933323828,1.1553951207320392,-0.08360767481525919,1.0662367878310586,20.0
2025-27,0.18650429063716764,0.9927705785730605,0.17182773600813842,0.9317567837920256,53.0
2025-28,-0.07629594896830898,0.8276010001186783,-0.2054844031987401,0.8368834982144611,42.0
2025-29,0.1099165502018782,0.5753428082630655,-0.27093094052960454,0.7851980375358089,13.0
2025-30,0.2660497082650063,0.717842229285896,0.3178927551685061,0.7631620806410588,73.0
2025-31,0.06720924313299734,0.7459590603008132,0.1452076033618847,0.8612957344655403,38.0
2025-32,0.3201487988265845,0.6947969522422366,-0.021797619746895078,0.8058883798863894,8.0
2025-33,0.1397833503610889,0.7449170134639899,-0.07388242107214353,1.0319356318860116,37.0
2025-34,-0.35280883611956687,0.7604406688804403,0.1264466694054397,1.1063719384799258,13.0
2025-35,-0.30465614076795133,0.9570070209985461,0.008734362156569538,0.9993357550696123,31.0
2025-36,-0.006905894585416535,0.8537518465727751,-0.017515377431303308,0.9797557805272088,12.0
2025-37,-0.022073186313676912,0.782116210999605,0.12402318329578847,1.1111618962645908,19.0
2025-38,-0.17832050058838214,1.101442199140602,-0.22236546219551465,0.9229990074693292,11.0
2025-39,-0.13225324945703423,0.523417335035345,0.1418661140393602,0.7633890928155862,11.0
2025-40,0.8085395993932739,0.3890666763815284,0.8413143479789398,0.840879873788516,7.0
2025-41,0.22634359430911818,0.930047831918225,0.3446278111729623,0.9854141222208,21.0
2025-42,-0.007929895020207058,0.8247901967498227,0.08089212971959106,0.8397597828377212,13.0
