,phrase,label,sentiment,subjectivity,language,count
looking east,looking east,ORG,-0.7,0.0,en,1
The eruption restarted at midda…,The eruption restarted at midda…,ORG,0.0,0.0,en,1
Residents with traumatic memories of a deadly,Residents with traumatic memories of a deadly,ORG,0.0,0.0,en,1
Watch,Watch,ORG,0.0,0.0,en,1
lasted three minutes,lasted three minutes,ORG,0.0,0.0,en,1
tsunami..,tsunami..,ORG,0.0,0.0,en,1
Eruption Of The Yellowstone Supervo…,Eruption Of The Yellowstone Supervo…,ORG,0.0,0.0,en,1
prompting authorities to evacuate nearly 300 families and warn that,prompting authorities to evacuate nearly 300 families and warn that,ORG,0.0,0.0,en,1
BIGGEST,BIGGEST,ORG,0.0,0.0,en,1
blows a thick cloud of ash,blows a thick cloud of ash,ORG,0.0,0.0,en,1
AP Photo,AP Photo,ORG,0.0,0.0,en,1
eruption that likely scattered the sharks that normally dwell there,eruption that likely scattered the sharks that normally dwell there,ORG,0.0,0.0,en,1
Dan’s,Dan’s,ORG,0.0,0.0,en,1
Everbridge,Everbridge,ORG,0.0,0.0,en,1
disrupting flights and raising e…,disrupting flights and raising e…,ORG,0.0,0.0,en,1
we backpacked extensively,we backpacked extensively,ORG,0.0,0.0,en,1
Antarcticas Mount Erebus are an anomaly,Antarcticas Mount Erebus are an anomaly,ORG,0.0,0.0,en,1
earthquakes,earthquakes,ORG,0.0,0.0,en,1
The volcano,The volcano,ORG,0.0,0.0,en,1
AM PDT by davikkm,AM PDT by davikkm,ORG,0.0,0.0,en,1
with pyroclastic … Skip to comments,with pyroclastic … Skip to comments,ORG,0.0,0.0,en,1
Volcano Sound System is facing a licence review after,Volcano Sound System is facing a licence review after,ORG,0.0,0.0,en,1
eruption is becoming more likely,eruption is becoming more likely,ORG,0.0,0.0,en,1
melting of snow and ice,melting of snow and ice,ORG,0.0,0.0,en,1
the Alaska Volcano Observatory reiterated,the Alaska Volcano Observatory reiterated,ORG,0.0,0.0,en,1
Rapterra debuts at Kings Dominion,Rapterra debuts at Kings Dominion,ORG,0.0,0.0,en,1
has only intensified,has only intensified,ORG,0.0,0.0,en,1
Indonesia The Mount Lewotobi Laki Laki,Indonesia The Mount Lewotobi Laki Laki,ORG,-0.7,0.0,en,1
Out of the remains of a long dormant volcano,Out of the remains of a long dormant volcano,ORG,0.0,0.0,en,1
HONOLULU Lava from Hawaiis,HONOLULU Lava from Hawaiis,ORG,0.0,0.0,en,1
Australian airline cancelled some,Australian airline cancelled some,ORG,0.15000000000000002,0.0,en,1
including to Thailand,including to Thailand,ORG,0.0,0.0,en,1
Singapore and Australia,Singapore and Australia,ORG,0.0,0.0,en,1
JAKARTA,JAKARTA,ORG,-0.7,0.0,en,1
A volcanic eruption,A volcanic eruption,ORG,0.0,0.0,en,1
spewed ash clouds more than,spewed ash clouds more than,ORG,0.0,0.0,en,1
family vacations by drawing,family vacations by drawing,ORG,0.0,0.0,en,1
including sulfur,including sulfur,ORG,0.0,0.0,en,1
because he’s a completely out of control mega,because he’s a completely out of control mega,ORG,0.0,0.0,en,1
including Halemaʻumaʻu Crater at the top of Kilauea and the various lava flows produced by Kilauea,including Halemaʻumaʻu Crater at the top of Kilauea and the various lava flows produced by Kilauea,ORG,1.0,0.0,en,1
LLC is a participant in the Amazon Services,LLC is a participant in the Amazon Services,ORG,0.0,0.0,en,1
ESRI,ESRI,ORG,0.0,0.0,en,1
Xylem,Xylem,ORG,0.0,0.0,en,1
Nokia,Nokia,ORG,0.0,0.0,en,1
Bluffing Sharks,Bluffing Sharks,ORG,0.0,0.0,en,1
Hexagon,Hexagon,ORG,0.0,0.0,en,1
bluffing sharks,bluffing sharks,ORG,0.0,0.0,en,1
a brand,a brand,ORG,0.0,0.0,en,1
with NEC,with NEC,ORG,0.0,0.0,en,1
Alaska As Scientists Believe It Is Soon To Erupt,Alaska As Scientists Believe It Is Soon To Erupt,ORG,0.0,0.0,en,1
A volcanic eruption on,A volcanic eruption on,ORG,-0.7,0.0,en,1
Social media users were blown away by the hair-raising moment,Social media users were blown away by the hair-raising moment,ORG,0.0,0.0,en,1
accordin,accordin,ORG,0.0,0.0,en,1
The people of,The people of,ORG,0.0,0.0,en,1
Scientists warn of imminent eruption,Scientists warn of imminent eruption,ORG,0.0,0.0,en,1
New Yellowstone vent discovered:,New Yellowstone vent discovered:,ORG,0.0,0.0,en,1
Jakarta At least seven international flights from,Jakarta At least seven international flights from,ORG,0.0,0.0,en,1
Championship Saturday,Championship Saturday,ORG,-0.7,0.0,en,1
