day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-01-17,1.1280911479579883,1.0,-0.7694316881854247,1.0,1.0
2025-01-18,0.20915657478726885,1.0,-0.4280795686113972,1.0,1.0
2025-01-19,-0.07570261482469257,0.6331365459489348,-0.2770965182476953,0.6091528035270499,4.0
2025-01-20,-0.2465081997829401,0.6513847606307895,-1.2040536134982651,0.7027889500335838,2.0
2025-01-22,0.17059132625789136,1.0,-0.7281761483822897,1.0,1.0
2025-01-23,-1.339643106974787,0.7345063978829716,-0.11690913393181349,0.8004559755253013,4.0
2025-01-24,0.5736323545600024,1.0,0.014800094944580943,1.0,1.0
2025-01-26,1.3431118984956123,1.0,1.4667987710016,1.0,1.0
2025-01-27,0.5787907847296926,1.5183443085498298,-0.5730003434774962,0.6360374567314119,4.0
2025-01-28,0.08978416472114602,0.7797607244177911,0.21676154002227055,0.9837139816893714,13.0
2025-01-29,-0.12133474544877465,1.0,0.7800777185258124,1.0,1.0
2025-01-30,-0.026824858350771315,0.4383831775560021,0.07081726129907875,0.35160547701581985,4.0
2025-02-01,0.03626904830315378,1.0,-0.608371972806401,1.0,1.0
2025-02-02,-0.7754725483244312,1.5699237916127171,-0.3937156940215516,1.0387499236610451,3.0
2025-02-03,0.28121258343530564,0.6543711854002341,-0.21702420070843978,0.08082030679107807,3.0
2025-02-04,1.0943401894616178,1.1173462323126462,0.366163073233574,1.259069920231296,4.0
2025-02-05,-0.4231325861985164,0.45913056301275873,-0.33646838514400396,0.30196874768737,7.0
2025-02-06,0.30301593838633606,1.489497672940171,-0.40011127026300164,1.2242769813571748,3.0
2025-02-07,-0.004748761194674056,0.8600199832840195,-0.11400233745108768,1.2238270764403745,5.0
2025-02-08,-0.6173055909855145,1.0,0.3043512430504583,1.0,1.0
2025-02-09,-1.4550809453795912,1.0,-1.0186098099861787,1.0,1.0
2025-02-10,-0.46118371015749743,0.6020870310383433,0.16876243198754054,0.3711280177008846,4.0
2025-02-11,-0.014579634215264736,0.7215052209237284,0.007558282127970684,0.34889625816688624,5.0
2025-02-12,-0.06480916390548236,0.9288815447226131,-0.07612527631616585,0.6450469796522509,21.0
2025-02-13,0.08145059999806757,0.6223170433897052,0.2033323263304251,0.8219903496528523,9.0
2025-02-14,0.2793653423293185,1.2109447849111208,1.5124325249446664,0.23621663703680307,2.0
2025-02-16,0.7991901418880555,0.45565693280442915,0.29844339137275755,0.4236347632077441,2.0
2025-02-17,-0.8635494072097338,0.8750113458565513,-0.19442713577256998,1.6364610446671577,4.0
2025-02-18,-1.6788682636223073,1.6866192904697006,0.5219358620054767,2.1932201364654107,3.0
2025-02-19,-0.7746449096087573,0.6131562645722525,0.0027722708135778096,0.4944631608441131,2.0
