keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'ash volcano',0.09111137990461142,0.8984034580846451,0.22178799615716868,0.9145065649880146,135.0
'lava volcano',0.24361263230600055,0.9017723450069537,0.19645089659858617,0.8825336506280421,115.0
'magma volcano',0.09492704645512819,0.8865879265786815,0.1814376344301134,1.034758691573324,34.0
'volcanic spewing',0.040081921944016476,0.7881069460778648,-0.0635482371304756,0.9205998664091601,34.0
'volcano activity',0.03202012447520252,0.9104090678982135,-0.08490677314904377,0.9643838968288103,55.0
'volcano alert',-0.03788934216723991,0.9116340813849143,-0.020523822436155165,0.9349698621322834,45.0
'volcano damage',0.11793862031649428,0.8229207308815087,-0.24159463326624775,0.931666289124219,33.0
'volcano death',-0.3845604029438759,0.7469491913386261,-0.14499000414634133,0.8303908459753635,17.0
'volcano erupt',0.028785803155393662,0.8843410673943873,0.04869697199472976,0.9689736420308395,318.0
'volcano evacuation',0.11661296019717945,1.1171043955366682,0.018298545640033543,0.8657263230019345,36.0
'volcano flights',0.08103183206702935,0.9255002080817981,-0.044422912860176744,0.9500930659057355,39.0
'volcano rescue',-0.41398712706137736,0.7470853534790769,-0.2308679078273739,0.8466380452733404,33.0
'volcano tectonic',0.03524163600283238,0.7643787866601681,0.08641364432038014,0.9069462486269293,34.0
'volcano victims',-0.4639468877794477,0.884687923757387,-0.060928983027699564,0.9224771636207049,33.0
'volcano warning',-0.3559483816853622,0.8692766999671856,-0.2607411813248245,0.8701515535579201,34.0
'volcano',-0.0015150446737613617,0.9270549423347063,0.036161388307121935,0.9015822118782039,952.0
veryUnusualAndNeverUsedKeyword,-0.8700001899748216,1.0,-1.5949910285522124,1.0,1.0
